monto_adefas,monto_aprobado,monto_devengado,monto_ejercicio,monto_ejercido,monto_modificado,monto_pagado,activity_id,administrative_classification_id,budget_line_id_id,date_id,economic_classification_id,expenditure_type_id,fin_source_id,functional_classification_id,geo_source_id
,111993252.00,,,128276238.00,,,1235,1659,9038,1,1837,4,4,323,24
,21791544.00,,,70124960.00,,,1235,1659,9038,1,1843,4,4,323,24
,915708.00,,,894256.00,,,1235,1659,9038,1,1822,4,4,323,24
,3272498.00,,,3643226.00,,,1235,1659,9038,1,1823,4,4,323,24
,52316091.00,,,59948772.00,,,1235,1659,9038,1,1818,4,4,323,24
,114000.00,,,0.00,,,1235,1659,9038,1,1813,4,4,323,24
,17170539.00,,,12840593.00,,,1235,1659,9038,1,1868,4,4,323,24
,6066900.00,,,6425517.00,,,1235,1659,9038,1,1864,4,4,323,24
,6061104.00,,,6815862.00,,,1235,1659,9038,1,1875,4,4,323,24
,14800092.00,,,10363306.00,,,1235,1659,9038,1,1873,4,4,323,24
,39963332.00,,,41073659.00,,,1235,1659,9038,1,1874,4,4,323,24
,30526.00,,,203809.00,,,1235,1659,9038,1,1878,4,4,323,24
,0.00,,,2570210.00,,,1235,1659,9038,1,1869,4,4,323,24
,6279192.00,,,4071724.00,,,1235,1659,9038,1,1870,4,4,323,24
,7886892.00,,,0.00,,,1235,1659,9038,1,1877,4,4,323,24
,1180000.00,,,684932.00,,,1235,1659,9038,1,1756,4,4,323,24
,20618246.00,,,16362822.00,,,1235,1659,9038,1,1757,4,4,323,24
,324799548.00,,,352171040.00,,,1235,1659,9038,1,1738,4,4,323,24
,7977516.00,,,8878344.00,,,1235,1659,9038,1,1737,4,4,323,24
,55538712.00,,,62981371.00,,,1235,1659,9038,1,1752,4,4,323,24
,45793796.00,,,51677254.00,,,1235,1659,9038,1,1767,4,4,323,24
,42012518.00,,,38694630.00,,,1235,1659,9038,1,1766,4,4,323,24
,21585408.00,,,0.00,,,1235,1659,9038,1,1720,4,4,323,24
,8614352.00,,,0.00,,,1235,1659,9038,1,1721,4,4,323,24
,80520.00,,,0.00,,,1235,1659,9038,1,1723,4,4,323,24
,292824.00,,,0.00,,,1235,1659,9038,1,1722,4,4,323,24
,0.00,,,0.00,,,1235,1659,9038,1,1724,4,4,323,24
,734958.00,,,0.00,,,1235,1659,9038,1,1725,4,4,323,24
,409932.00,,,0.00,,,1235,1659,9038,1,1726,4,4,323,24
,0.00,,,0.00,,,1235,1659,9038,1,414,4,4,323,24
,1897573.00,,,2788733.00,,,1235,1659,9038,1,416,4,4,323,24
,524299.00,,,685933.00,,,1235,1659,9038,1,410,4,4,323,24
,250702.00,,,229811.00,,,1235,1659,9038,1,409,4,4,323,24
,93014.00,,,28750.00,,,1235,1659,9038,1,411,4,4,323,24
,165101.00,,,172507.00,,,1235,1659,9038,1,415,4,4,323,24
,1800000.00,,,2550317.00,,,1235,1659,9038,1,417,4,4,323,24
,0.00,,,0.00,,,1235,1659,9038,1,361,4,4,323,24
,667521.00,,,1116832.00,,,1235,1659,9038,1,357,4,4,323,24
,252365.00,,,170512.00,,,1235,1659,9038,1,356,4,4,323,24
