MONTO_ADEFAS,MONTO_APROBADO,MONTO_DEVENGADO,MONTO_EJERCICIO,MONTO_EJERCIDO,MONTO_MODIFICADO,MONTO_PAGADO,activity_id,administrative_classification_id,budget_line_id_id,date_id,economic_classification_id,expenditure_type_id,fin_source_id,functional_classification_id,geo_source_id
,111993252.00,,,128276238.00,,,2667,1135,9217,1,78,2,1,1,38
,21791544.00,,,70124960.00,,,2667,1135,9217,1,84,2,1,1,38
,915708.00,,,894256.00,,,2667,1135,9217,1,94,2,1,1,38
,3272498.00,,,3643226.00,,,2667,1135,9217,1,98,2,1,1,38
,52316091.00,,,59948772.00,,,2667,1135,9217,1,99,2,1,1,38
,114000.00,,,0.00,,,2667,1135,9217,1,100,2,1,1,38
,17170539.00,,,12840593.00,,,2667,1135,9217,1,149,2,1,1,38
,6066900.00,,,6425517.00,,,2667,1135,9217,1,151,2,1,1,38
,6061104.00,,,6815862.00,,,2667,1135,9217,1,152,2,1,1,38
,14800092.00,,,10363306.00,,,2667,1135,9217,1,154,2,1,1,38
,39963332.00,,,41073659.00,,,2667,1135,9217,1,155,2,1,1,38
,30526.00,,,203809.00,,,2667,1135,9217,1,157,2,1,1,38
,0.00,,,2570210.00,,,2667,1135,9217,1,161,2,1,1,38
,6279192.00,,,4071724.00,,,2667,1135,9217,1,162,2,1,1,38
,7886892.00,,,0.00,,,2667,1135,9217,1,163,2,1,1,38
,1180000.00,,,684932.00,,,2667,1135,9217,1,183,2,1,1,38
,20618246.00,,,16362822.00,,,2667,1135,9217,1,184,2,1,1,38
,324799548.00,,,352171040.00,,,2667,1135,9217,1,185,2,1,1,38
,7977516.00,,,8878344.00,,,2667,1135,9217,1,187,2,1,1,38
,55538712.00,,,62981371.00,,,2667,1135,9217,1,188,2,1,1,38
,45793796.00,,,51677254.00,,,2667,1135,9217,1,226,2,1,1,38
,42012518.00,,,38694630.00,,,2667,1135,9217,1,227,2,1,1,38
,21585408.00,,,0.00,,,2667,1135,9217,1,230,2,1,1,38
,8614352.00,,,0.00,,,2667,1135,9217,1,232,2,1,1,38
,80520.00,,,0.00,,,2667,1135,9217,1,233,2,1,1,38
,292824.00,,,0.00,,,2667,1135,9217,1,234,2,1,1,38
,0.00,,,0.00,,,2667,1135,9217,1,235,2,1,1,38
,734958.00,,,0.00,,,2667,1135,9217,1,236,2,1,1,38
,409932.00,,,0.00,,,2667,1135,9217,1,237,2,1,1,38
,0.00,,,0.00,,,2667,1135,9217,1,314,2,1,1,38
,1897573.00,,,2788733.00,,,2667,1135,9217,1,315,2,1,1,38
,524299.00,,,685933.00,,,2667,1135,9217,1,316,2,1,1,38
,250702.00,,,229811.00,,,2667,1135,9217,1,317,2,1,1,38
,93014.00,,,28750.00,,,2667,1135,9217,1,318,2,1,1,38
,165101.00,,,172507.00,,,2667,1135,9217,1,319,2,1,1,38
,1800000.00,,,2550317.00,,,2667,1135,9217,1,320,2,1,1,38
,0.00,,,0.00,,,2667,1135,9217,1,334,2,1,1,38
,667521.00,,,1116832.00,,,2667,1135,9217,1,338,2,1,1,38
,252365.00,,,170512.00,,,2667,1135,9217,1,340,2,1,1,38
,0.00,,,0.00,,,2667,1135,9217,1,351,2,1,1,38
,68607.00,,,112986.00,,,2667,1135,9217,1,352,2,1,1,38
,522226.00,,,623071.00,,,2667,1135,9217,1,353,2,1,1,38
,3651.00,,,14830.00,,,2667,1135,9217,1,354,2,1,1,38
,0.00,,,0.00,,,2667,1135,9217,1,366,2,1,1,38
,263564.00,,,190405.00,,,2667,1135,9217,1,367,2,1,1,38
,131496.00,,,257350.00,,,2667,1135,9217,1,368,2,1,1,38
