_id,beneficiary_name,beneficiary_address,project_name,project_description,total_amount,project_status,management_authority,amount,amount_kind,approval_date,beneficiary_city,beneficiary_country,beneficiary_country_code,beneficiary_county,beneficiary_id,beneficiary_nuts_code,beneficiary_nuts_region,beneficiary_person,beneficiary_postal_code,beneficiary_url,cci_program_code,cci_program_title,completion_date,currency,eu_cofinancing_amount,eu_cofinancing_amount_eligible,eu_cofinancing_rate,european_investment_bank,final_payment_date,first_payment_date,fund_acronym,fund_name,funding_period,funding_period_number,member_state_amount,operational_programme,priority_label,priority_number,project_id,source,starting_date,theme_code,theme_name,third_party_amount,total_amount_applied,total_amount_eligible
1,A.T.C. Produktion & Handel GmbH,"7041 Wulkaprodersdorf, Industriegelände 3",Umsetzungsberatung,"Begleitung bei der Umsetzung der laufenden Soll-Ist- Vergleiche mit neu eingeführter Software, Begleitung monatliches Reporting im Controlling in den Bereichen Finanzbuchhaltung, Lohnverrechnung, Betriebsdatenerfassung und Kostenrechnung",1200.0,A,Wirtschaft Burgenland GmbH - WiBuG,1200.0,total_amount,,,ÖSTERREICH,AT,,,AT11,Burgenland,,,,2007AT161PO001,,,,,,,,,,ERDF,,2007-2013,,,,,,,,,,,,,
2,A.T.C. Produktion & Handel GmbH,"7041 Wulkaprodersdorf, Industriegelände 3",Konzeptberatung,"Neukonzeptionierung der Warenwirtschaft, Analyse der Abläufe in der Warenwirtschaft, Herausarbeitung von Änderungen und Verbesserungen, Erstellung eines Sollkonzeptes",1000.0,A,Wirtschaft Burgenland GmbH - WiBuG,1000.0,total_amount,,,ÖSTERREICH,AT,,,AT11,Burgenland,,,,2007AT161PO001,,,,,,,,,,ERDF,,2007-2013,,,,,,,,,,,,,
3,A.T.C. Produktion & Handel GmbH,"7041 Wulkaprodersdorf, Industriegelände 3",Umsetzungsberatung,"Umsetzung des Sollkonzeptes mit der BMD Software, Einrichtung der BMD Software in den Bereichen der Warenwirtschaft und Produktionsplanung sowie Definition von Auswertungen",980.0,A,Wirtschaft Burgenland GmbH - WiBuG,980.0,total_amount,,,ÖSTERREICH,AT,,,AT11,Burgenland,,,,2007AT161PO001,,,,,,,,,,ERDF,,2007-2013,,,,,,,,,,,,,
4,Achs Matthias,"7122 Gols, Hauptplatz 2",Konzeptberatung,"Erstellung eines Marketingkonzepts für Kundengewinnung, Erstellung eines Eventmanagementkonzeptes zur effizienteren Ausnutzung der Betriebsräumlichkeiten, insbesondere Kellerlokal und Veranstaltungssaal",900.0,A,Wirtschaft Burgenland GmbH - WiBuG,900.0,total_amount,,,ÖSTERREICH,AT,,,AT11,Burgenland,,,,2007AT161PO001,,,,,,,,,,ERDF,,2007-2013,,,,,,,,,,,,,
5,"ALONDO ""Bio.k."" Lebensmittelproduktions GmbH","7331 Weppersdorf, Industriegebiet",Konzeptberatung,Aufbau Controlling und Kostenrechnung,900.0,A,Wirtschaft Burgenland GmbH - WiBuG,900.0,total_amount,,,ÖSTERREICH,AT,,,AT11,Burgenland,,,,2007AT161PO001,,,,,,,,,,ERDF,,2007-2013,,,,,,,,,,,,,
6,"ALONDO ""Bio.k."" Lebensmittelproduktions GmbH","7331 Weppersdorf, Industriegebiet",Umsetzungsberatung,"Erstellen von monatlichen Soll-Ist-Vergleichen, Definieren der KERF-Gliederung, Einführung der Kostenrechnung, Hinterlegung der Stammdaten und Abstimmung der KORE-Daten mit der FIBU",1050.0,A,Wirtschaft Burgenland GmbH - WiBuG,1050.0,total_amount,,,ÖSTERREICH,AT,,,AT11,Burgenland,,,,2007AT161PO001,,,,,,,,,,ERDF,,2007-2013,,,,,,,,,,,,,
7,"ALONDO ""Bio.k."" Lebensmittelproduktions GmbH","7331 Weppersdorf, Industriegebiet",Konzeptberatung,Vorbereitung Zertifizierung der Managementsysteme nach EN ISO 22000:2005,900.0,A,Wirtschaft Burgenland GmbH - WiBuG,900.0,total_amount,,,ÖSTERREICH,AT,,,AT11,Burgenland,,,,2007AT161PO001,,,,,,,,,,ERDF,,2007-2013,,,,,,,,,,,,,
8,ALU-SOMMER GmbH,"7344 Stoob, Industriestraße 6",Entwicklung eines neuartigen Systems für Glastrennwände,"Entwicklung eines neuen Systems von formschönen Glastrennwänden für Bürobauten. Das modulare System erlaubt eine flexible Raumgestaltung entsprechend der baulichen Gegebenheiten und der Kundenwünsche. In die Wände können Türen, Innenfenster, Jousien usw integriert werden sowie eine horizontale Trennung in den unteren und oberen Paneelbereich aufweisen. Die einzelnen Glaspaneele werden in einen Trennwandrahmen, bestehend aus dem Boden, an der Decke und an den Wänden montierten Grundprofilen, eingefügt und mit Aufsteckprofilen in Rahmen fixiert. Zur elastischen Fixierung der Paneel sind beie Profile mit Dichtungen ausgestattet, entsprechend der Glaspaneelstärke.",13629.91,A,Wirtschaft Burgenland GmbH - WiBuG,13629.91,total_amount,,,ÖSTERREICH,AT,,,AT11,Burgenland,,,,2007AT161PO001,,,,,,,,,,ERDF,,2007-2013,,,,,,,,,,,,,
9,Andreas Pöschl Ges.m.b.H.,"2485 Wimpassing an der Leitha, Eichengasse 16",Konzeptberatung,Wirtschaftlichkeitsbeurteilung für neue Halle,759.38,A,Wirtschaft Burgenland GmbH - WiBuG,759.38,total_amount,,,ÖSTERREICH,AT,,,AT11,Burgenland,,,,2007AT161PO001,,,,,,,,,,ERDF,,2007-2013,,,,,,,,,,,,,
10,ARGE Best For Family,"7431 Bad Tatzmannsdorf, Am Golfplatz 1-4",Angebotsgruppe Best For Family 2009,"Gemeinsame Vermarktung und Bewerbung des Familien- u. Kinder-Urlaubsangebots im Burgenland mit der Zielsetzung einer besseren ganzjährigen Auslastung und Positionierung der Betriebe unter Nutzung von Marktnischen und Spezialisierung auf das Thema ""Familienurlaub/-Erlebnisse mit Babys & Kids""",250000.0,A,"Amt der Burgenländischen Landesregierung, Abt. 5 (Anlagenrecht, Umweltschutz und Verkehr, HR Tourismus)",250000.0,total_amount,,,ÖSTERREICH,AT,,,AT11,Burgenland,,,,2007AT161PO001,,,,,,,,,,ERDF,,2007-2013,,,,,,,,,,,,,
11,ARGE für Zukunftstechnologien (vertreten durch Hella Fahrzeugteile GmbH),"7503 Großpetersdorf, Fabriksgasse 2","Licht- und Energiecluster, Phase 2","Die Schwerpunkte in Phase 2 liegen im Bereich LED und Photovoltaik. Im Kozept werden 5 Arbeitspakete definiert: Netzwerkaufbau, Projektstudie, Workshops, Aquisition neuer Mitglieder, Internetplattform, Innovationsveranstaltungen, Marketing und PR, Rektrutierung Fachpersonal und Entwicklung von Dienstleistungen",47425.5,A,Wirtschaft Burgenland GmbH - WiBuG,47425.5,total_amount,,,ÖSTERREICH,AT,,,AT11,Burgenland,,,,2007AT161PO001,,,,,,,,,,ERDF,,2007-2013,,,,,,,,,,,,,
12,at-visions Informationstechnologie GmbH,"7412 Wolfau, Industriegebiet 507/1",Internationalisierung at- visions,"Die geplanten Messeauftritte sollen insbesondere der Steigerung des Bekanntheitsgrades als auch konkreter Kundenkontakte dienen. Die auf den Messen präsentierten Produkte sind ONEvision, ONEsignage und ONEspeed. Hierbei handelt es sich um IT-Lösungen für die gehobene Hotellerie. Für die Messeauftritte ist auch die Gestaltung eines Videos geplant.",20189.66,A,Wirtschaft Burgenland GmbH - WiBuG,20189.66,total_amount,,,ÖSTERREICH,AT,,,AT11,Burgenland,,,,2007AT161PO001,,,,,,,,,,ERDF,,2007-2013,,,,,,,,,,,,,
13,at-visions Informationstechnologie GmbH,"7412 Wolfau, Industriegebiet 507/1",Internationalisierung at- visions,"Geplant sind aktuell im Zuge der Internationalisierungsmaßnahmen die Teilnahme an den Messen: ITB Berlin, Hotel Show Dubai und der HITEC.",36741.34,A,Wirtschaft Burgenland GmbH - WiBuG,36741.34,total_amount,,,ÖSTERREICH,AT,,,AT11,Burgenland,,,,2007AT161PO001,,,,,,,,,,ERDF,,2007-2013,,,,,,,,,,,,,
14,at-visions Informationstechnologie GmbH,"7412 Wolfau, Industriegebiet 507/1",Internationalisierung at- visions,"Teilnahme an der ""Hotel Show Dubai"" in Dubai. Neben Asien ist der Mittlere Osten nach wie vor ein sehr dynamischer Wachstumsmarkt. Die Hotel Show ist für die Branche ""Informationstechnologie"" die wichtigste Veranstaltung in der Region und hat sich bislang auch gut bewährt.",14944.13,A,Wirtschaft Burgenland GmbH - WiBuG,14944.13,total_amount,,,ÖSTERREICH,AT,,,AT11,Burgenland,,,,2007AT161PO001,,,,,,,,,,ERDF,,2007-2013,,,,,,,,,,,,,
15,at-visions Informationstechnologie GmbH,"7412 Wolfau, Industriegebiet 507/1",ONEvision CMS,"ONEvision CMS umfasst die Weiterentwicklung der erfolgreichen Hotel TV Lösung ONEvision um an den Einsatzzweck angepasste Content Management Funktionalität. Besonderes Augenmerk liegt dabei auf den Ausbau Marketin relevanter Funktionen sowie die Integration verschiedener Ausgabemedien (in-room TV, Digital Signage, Tablets, Smartphone Apps).",55912.8,A,Wirtschaft Burgenland GmbH - WiBuG,55912.8,total_amount,,,ÖSTERREICH,AT,,,AT11,Burgenland,,,,2007AT161PO001,,,,,,,,,,ERDF,,2007-2013,,,,,,,,,,,,,
