"_id","project_name","beneficiary_name","total_amount","eu_cofinancing_amount","total_amount_eligible","eu_cofinancing_amount_eligible","amount","amount_kind","approval_date","beneficiary_address","beneficiary_city","beneficiary_country","beneficiary_country_code","beneficiary_county","beneficiary_id","beneficiary_nuts_code","beneficiary_nuts_region","beneficiary_person","beneficiary_postal_code","beneficiary_url","cci_program_code","completion_date","currency","eu_cofinancing_rate","final_payment_date","first_payment_date","fund_acronym","funding_period","management_authority","member_state_amount","operational_programme","priority_label","priority_number","project_description","project_status","source","starting_date","theme_code","theme_name","third_party_amount","total_amount_applied"
1,Budowa drogi ekspresowej S8 na odcinku węzeł Walichnowy – Łódź (A1),Generalna Dyrekcja Dróg Krajowych i Autostrad,5099384720.43,3581234289.07,,,898269689.3997618,eu_cofinancing_amount,,"","",POLSKA,PL,"",Autostrad drog dyrekcja generalna i krajowych,PL,POLSKA,"","","","",,PLN,"",,,ERDF,"2007-2013","",,"","","","","","",,"","",,
2,Budowa Terminalu Regazyfikacyjnego Skroplonego Gazu Ziemnego w Świnoujściu - Instalacja rozładunkowa i regazyfikacyjna.,Polskie LNG S.A.,3638743218.06,888854498.36,,,222948567.36970437,eu_cofinancing_amount,,"","",POLSKA,PL,"",Lng polskie sa,PL,POLSKA,"","","","",,PLN,"",,,ERDF,"2007-2013","",,"","","","","","",,"","",,
3,Budowa drogi ekspresowej S-8 na odcinku Wrocław (Psie Pole) - Syców.,Generalna Dyrekcja Dróg Krajowych i Autostrad,1115110121.49,809660944.58,,,203084698.3194342,eu_cofinancing_amount,,"","",POLSKA,PL,"",Autostrad drog dyrekcja generalna i krajowych,PL,POLSKA,"","","","",,PLN,"",,,ERDF,"2007-2013","",,"","","","","","",,"","",,
4,"Budowa drogi S5 Poznań - Wrocław, odcinek Kaczkowo - Korzeńsko",Generalna Dyrekcja Dróg Krajowych i Autostrad,1114512000,804979413.47,,,201910444.65249884,eu_cofinancing_amount,,"","",POLSKA,PL,"",Autostrad drog dyrekcja generalna i krajowych,PL,POLSKA,"","","","",,PLN,"",,,ERDF,"2007-2013","",,"","","","","","",,"","",,
5,"Budowa Trasy Mostu Północnego od węzła z ul. Pułkową do węzła z ul. Modlińską oraz od węzła z ul. Pułkową do węzła przesiadkowego ""Młociny""",Miasto Stołeczne Warszawa,1255264390.79,746148782.8,,,187154143.3123661,eu_cofinancing_amount,,"","",POLSKA,PL,"",Miasto stoleczne warszawa,PL,POLSKA,"","","","",,PLN,"",,,ERDF,"2007-2013","",,"","","","","","",,"","",,
6,"Budowa drogi ekspresowej S7, odcinek Radom(Jedlinsk) -Jędrzejów, na odcinku obwodnicy Kielc",Generalna Dyrekcja Dróg Krajowych i Autostrad,837326439.91,629254374.69,,,157833888.00653228,eu_cofinancing_amount,,"","",POLSKA,PL,"",Autostrad drog dyrekcja generalna i krajowych,PL,POLSKA,"","","","",,PLN,"",,,ERDF,"2007-2013","",,"","","","","","",,"","",,
7,"""Budowa drogi S7 Radom (Jedlińsk) - Jędrzejów"" odcinek realizacyjny: Skarżysko-Kamienna - Występa",Generalna Dyrekcja Dróg Krajowych i Autostrad,719147926.92,504927128.99,,,126649277.51631255,eu_cofinancing_amount,,"","",POLSKA,PL,"",Autostrad drog dyrekcja generalna i krajowych,PL,POLSKA,"","","","",,PLN,"",,,ERDF,"2007-2013","",,"","","","","","",,"","",,
8,Podziemny Magazyn Gazu Wierzchowice,Polskie Górnictwo Naftowe i Gazownictwo Spółka Akcyjna,1743031171.17,484557817.61,,,121540107.45658123,eu_cofinancing_amount,,"","",POLSKA,PL,"",Gazownictwo gornictwo i naftowe polskie sa,PL,POLSKA,"","","","",,PLN,"",,,ERDF,"2007-2013","",,"","","","","","",,"","",,
9,"Zachodnia obwodnica Łodzi w ciągu dr.eksp. S-14 wraz z obwodnicą Pabianic, odc.obwodnica Pabianic",Generalna Dyrekcja Dróg Krajowych i Autostrad,578335389,443408843.54,,,111218840.21366747,eu_cofinancing_amount,,"","",POLSKA,PL,"",Autostrad drog dyrekcja generalna i krajowych,PL,POLSKA,"","","","",,PLN,"",,,ERDF,"2007-2013","",,"","","","","","",,"","",,
10,"Budowa Drogowej Trasy Średnicowej, odcinek G2",Miasto Gliwice,945438287.62,443002306.58,,,111116869.83158349,eu_cofinancing_amount,,"","",POLSKA,PL,"",Gliwice miasto,PL,POLSKA,"","","","",,PLN,"",,,ERDF,"2007-2013","",,"","","","","","",,"","",,
11,Dolnośląskie Centrum Materiałów i Biomateriałów Wrocławskie Centrum Badań (EIT+),Wrocławskie Centrum Badań EIT+ Sp. z o.o.,605154540.28,425442221.3,,,106712329.08471291,eu_cofinancing_amount,,"","",POLSKA,PL,"",Badan centrum eit+ oo sp wroclawskie z,PL,POLSKA,"","","","",,PLN,"",,,ERDF,"2007-2013","",,"","","","","","",,"","",,
12,"Elektroniczna Platforma Gromadzenia, Analizy i Udostępniania Zasobów Cyfrowych o Zdarzeniach Medycznych",Centrum Systemów Informacyjnych Ochrony Zdrowia,712640000,407395005.74,,,102185602.9877667,eu_cofinancing_amount,,"","",POLSKA,PL,"",Centrum informacyjnych ochrony systemow zdrowia,PL,POLSKA,"","","","",,PLN,"",,,ERDF,"2007-2013","",,"","","","","","",,"","",,
13,Dolnośląski Fundusz Powierniczy,Bank Gospodarstwa Krajowego,405732727.65,405732727.65,,,101768659.02290031,eu_cofinancing_amount,,"","",POLSKA,PL,"",Bank gospodarstwa krajowego,PL,POLSKA,"","","","",,PLN,"",,,ERDF,"2007-2013","",,"","","","","","",,"","",,
14,"Budowa drogi Nr 16 Olsztyn - Augustów (z wyłączeniem obwodnicy Ełku), odcinek Barczewo - Borki Wielkie",Generalna Dyrekcja Dróg Krajowych i Autostrad,561791736.18,403943059.84,,,101319762.29678443,eu_cofinancing_amount,,"","",POLSKA,PL,"",Autostrad drog dyrekcja generalna i krajowych,PL,POLSKA,"","","","",,PLN,"",,,ERDF,"2007-2013","",,"","","","","","",,"","",,
15,"Budowa drogi ekspresowej S7, odcinek Grójec-Białobrzegi",Generalna Dyrekcja Dróg Krajowych i Autostrad,549570327.94,388403227.95,,,97421955.32901417,eu_cofinancing_amount,,"","",POLSKA,PL,"",Autostrad drog dyrekcja generalna i krajowych,PL,POLSKA,"","","","",,PLN,"",,,ERDF,"2007-2013","",,"","","","","","",,"","",,
16,Modernizacja i rozwój zintegrowanego systemu transportu zbiorowego w Olsztynie,Gmina Olsztyn,650136059.57,384788279.51,,,96515229.22558512,eu_cofinancing_amount,,"","",POLSKA,PL,"",Gmina olsztyn,PL,POLSKA,"","","","",,PLN,"",,,ERDF,"2007-2013","",,"","","","","","",,"","",,
17,Wsparcie przedsiębiorczości poprzez rozwój instrumentów inżynierii finansowej w ramach inicjatywy JEREMIE w Wielkopolsce.,BANK GOSPODARSTWA KRAJOWEGO,501300000,375975000,,,94304622.15298925,eu_cofinancing_amount,,"","",POLSKA,PL,"",Bank gospodarstwa krajowego,PL,POLSKA,"","","","",,PLN,"",,,ERDF,"2007-2013","",,"","","","","","",,"","",,
18,Budowa lotniska regionalnego.,Województwo Podlaskie,493013209.36,352435298.4,,,88400233.12451099,eu_cofinancing_amount,,"","",POLSKA,PL,"",Podlaskie wojewodztwo,PL,POLSKA,"","","","",,PLN,"",,,ERDF,"2007-2013","",,"","","","","","",,"","",,
19,Połączenie dróg krajowych - Trasa Sucharskiego,Gmina Miasta Gdańska,439841637.77,350919412.2,,,88020008.17519805,eu_cofinancing_amount,,"","",POLSKA,PL,"",Gdanska gmina miasta,PL,POLSKA,"","","","",,PLN,"",,,ERDF,"2007-2013","",,"","","","","","",,"","",,
20,Zintegrowany system miejskiego transportu publicznego w Lublinie,Gmina Lublin,472827483.73,335834504.79,,,84236308.47837545,eu_cofinancing_amount,,"","",POLSKA,PL,"",Gmina lublin,PL,POLSKA,"","","","",,PLN,"",,,ERDF,"2007-2013","",,"","","","","","",,"","",,
21,Internet Dla Mazowsza,Samorząd Województwa Mazowieckiego,452792028.74,313748678.66,,,78696590.44359583,eu_cofinancing_amount,,"","",POLSKA,PL,"",Mazowieckiego samorzad wojewodztwa,PL,POLSKA,"","","","",,PLN,"",,,ERDF,"2007-2013","",,"","","","","","",,"","",,
22,Centrum Badań Przedklinicznych i Technologii (CePT),Warszawski Uniwersytet Medyczny,390236260.74,305265051.27,,,76568668.97142161,eu_cofinancing_amount,,"","",POLSKA,PL,"",Medyczny uniwersytet warszawski,PL,POLSKA,"","","","",,PLN,"",,,ERDF,"2007-2013","",,"","","","","","",,"","",,
23,Centrum Zaawansowanych Materiałów i Technologii,Politechnika Warszawska,380845695.86,302189665.84,,,75797279.75418387,eu_cofinancing_amount,,"","",POLSKA,PL,"",Politechnika warszawska,PL,POLSKA,"","","","",,PLN,"",,,ERDF,"2007-2013","",,"","","","","","",,"","",,
24,Budowa Wielkopolskiej Sieci Szerokopasmowej,Wielkopolska Sieć Szerokopasmowa Spółka Akcyjna,410439349.55,283637280.48,,,71143843.51131813,eu_cofinancing_amount,,"","",POLSKA,PL,"",Sa siec szerokopasmowa wielkopolska,PL,POLSKA,"","","","",,PLN,"",,,ERDF,"2007-2013","",,"","","","","","",,"","",,
